Occupation,Description-flyabroad,Ceiling,Used
2613,Software and Applications Programmers,5364,1441
2212,"Auditors, Company Secretaries and Corporate Treasurers",1000,1000
2544,Registered Nurses,13872,696
2631,Computer Network Professionals,1986,480
2211,Accountants,2525,440
2611,ICT Business and Systems Analysts,1536,384
2335,"Industrial, Mechanical and Production Engineers",1788,377
2339,Other Engineering Professionals,1000,271
2332,Civil Engineering Professionals,2970,261
2334,Electronics Engineers,1000,178
2633,Telecommunications Engineering Professionals,1000,131
2333,Electrical Engineers,1230,124
2414,Secondary School Teachers,8352,113
2331,Chemical and Materials Engineers,1000,104
2539,Other Medical Practitioners,1000,102
2531,General Practitioners and Resident Medical officers,3558,77
2321,Architects and Landscape Architects,1650,74
2713,Solicitors,3252,56
3212,Motor Mechanics,6108,56
3312,Carpenters and Joiners,7290,52
3411,Electricians,8772,48
2336,Mining Engineers,1000,38
2411,Early Childhood (Pre-primary School) Teachers,1980,37
2525,Physiotherapists,1104,37
3513,Chefs,2475,35
2725,Social Workers,2166,34
2341,Agricultural and Forestry Scientists,1000,32
2512,Medical Imaging Professionals,1092,31
2346,Medical Laboratory Scientists,1362,24
2723,Psychologists,1212,23
1331,Construction Managers,5640,22
2513,Occupational and Environmental Health Professionals,1578,21
3341,Plumbers,5130,20
2347,Veterinarians,1000,18
2312,Marine Transport Professionals,1000,16
2322,Cartographers and Surveyors,1000,16
1342,Health and Welfare Services Managers,1410,15
2524,Occupational Therapists,1000,15
3122,Civil Engineering Draftspersons and Technicians,1000,15
3232,Metal Fitters and Machinists,8070,15
3311,Bricklayers and Stonemasons,1656,15
3423,Electronics Trades Workers,2076,15
2527,Speech Professionals and Audiologists,1000,13
2532,Anaesthetists,1000,12
2534,Psychiatrists,1000,12
4112,"Dental Hygienists, Technicians and Therapists",1000,12
2533,Internal Medicine Specialists,1000,11
3223,Structural Steel and Welding Trades Workers,4416,11
2241,"Actuaries, Mathematicians and Statisticians",1000,10
3322,Painting Trades Workers,2802,9
2521,Chiropractors and Osteopaths,1000,8
2535,Surgeons,1000,8
2245,Land Economists and Valuers,1000,7
2526,Podiatrists,1000,7
2541,Midwives,1000,7
1332,Engineering Managers,1014,6
2514,Optometrists and Orthoptists,1000,6
1341,Child Care Centre Managers,1000,5
3132,Telecommunications Technical Specialists,1000,5
3421,Airconditioning and Refrigeration Mechanics,1038,5
2349,Other Natural and Physical Science Professionals,1000,4
2415,Special Education Teachers,1158,4
3211,Automotive Electricians,1000,4
3422,Electrical Distribution Trades Workers,1000,4
3332,Plasterers,1866,3
3334,Wall and Floor Tilers,1284,3
3123,Electrical Engineering Draftspersons and Technicians,1000,2
1335,Production Managers,3582,1
2711,Barristers,1000,1
3233,Precision Metal Trades Workers,1000,1
3222,Sheetmetal Trades Workers,1000,0
3241,Panelbeaters,1134,0
3331,Glaziers,1000,0
3991,Boat Builders and Shipwrights,1000,0
3941,Cabinetmakers,1530,0
