anzsco4,bbsid,nameen,namecn,ceiling,lastresutl,result,change
1331,6546,Construction Managers,建筑业经理,5640,94,108,14
1332,6547,Engineering Managers,工程经理,1014,28,28,0
1335,6550,Production Managers,生产经理,3582,8,8,0
1341,6552,Child Care Centre Managers,幼儿中心经理,1000,15,18,3
1342,6553,Health and Welfare Services Managers,卫生和福利服务经理,1410,42,45,3
2211,7058,Accountants,会计师,2525,2180,2525,345
2212,7059,"Auditors, Company Secretaries and Corporate Treasurers",审计，公司秘书及企业司库,1000,1000,1000,0
2241,7066,"Actuaries, Mathematicians and Statisticians",精算师，数学家和统计学家,1000,76,81,5
2245,7070,Land Economists and Valuers,土地经济学家和估价师,1000,38,40,2
2312,7079,Marine Transport Professionals,验船师,1000,51,54,3
2321,7080,Architects and Landscape Architects,建筑师和景观设计师,1650,291,300,9
2322,7081,Cartographers and Surveyors,制图师和测量师,1000,57,62,5
2331,7086,Chemical and Materials Engineers,化学工程与材料工程师,1000,535,563,28
2332,7087,Civil Engineering Professionals,土木工程专业,2970,1222,1273,51
2333,7088,Electrical Engineers,电气工程师,1230,621,657,36
2334,7089,Electronics Engineers,电子工程师,1000,891,932,41
2335,7090,"Industrial, Mechanical and Production Engineers",工业，机械和生产工程师,1788,1788,1788,0
2336,7091,Mining Engineers,采矿工程师,1000,203,218,15
2339,7092,Other Engineering Professionals,其他工程师,1000,1000,1000,0
2341,7093,Agricultural and Forestry Scientists,农林科学家,1000,153,159,6
2346,7098,Medical Laboratory Scientists,医学实验室科学家,1362,143,154,11
2347,7099,Veterinarians,兽医,1000,80,85,5
2349,7100,Other Natural and Physical Science Professionals,其他自然和物理科学专业人员,1000,30,33,3
2411,7101,Early Childhood (Pre-primary School) Teachers,幼儿教育（学前教育）教师,1980,183,201,18
2414,7103,Secondary School Teachers,中学教师,8352,511,541,30
2415,7104,Special Education Teachers,特殊教育教师,1158,22,24,2
2512,7111,Medical Imaging Professionals,医学影像专业人员,1092,105,110,5
2513,7112,Occupational and Environmental Health Professionals,劳动卫生与环境卫生专业人员,1578,81,88,7
2514,7113,Optometrists and Orthoptists,验光师和视觉矫正师,1000,34,35,1
2521,7116,Chiropractors and Osteopaths,脊医及整骨,1000,30,32,2
2524,7119,Occupational Therapists,职业治疗师,1000,96,100,4
2525,7120,P​​hysiotherapists,物理治疗师,1104,136,148,12
2526,7121,Podiatrists,足病医生,1000,34,34,0
2527,7122,Speech Professionals and Audiologists,演讲专家和听力学家,1000,62,64,2
2531,7123,General Practitioners and Resident Medical officers,全科执业,3558,372,384,12
2532,7124,Anaesthetists,麻醉师,1000,42,43,1
2533,7125,Internal Medicine Specialists,内科专家,1000,49,49,0
2534,7126,Psychiatrists,精神科医生,1000,30,31,1
2535,7127,Surgeons,外科医生,1000,22,23,1
2539,7128,Other Medical Practitioners,其他医生,1000,639,674,35
2541,7129,Midwives,助产士,1000,41,43,2
2544,7132,Registered Nurses,注册护士,13872,2829,3005,176
2611,7133,ICT Business and Systems Analysts,ICT业务和系统分析师,1536,1473,1536,63
2613,7134,Software and Applications Programmers,软件和应用程序的程序员,5364,5106,5364,258
2631,7136,Computer Network Professionals,计算机网络专业人士,1986,1986,1986,0
2633,7138,Telecommunications Engineering Professionals,通信工程专业,1000,692,723,31
2711,7139,Barristers,大律师,1000,4,4,0
2713,7141,Solicitors,律师,3252,260,272,12
2723,7144,Psychologists,心理学家,1212,91,96,5
2725,7146,Social Workers,社会工作者,2166,191,200,9
3122,7161,Civil Engineering Draftspersons and Technicians,土木工程起草者和技术,1000,72,78,6
3123,7162,Electrical Engineering Draftspersons and Technicians,电气工程及其起草者技术员,1000,32,33,1
3132,7168,Telecommunications Technical Specialists,电信技术专家,1000,25,25,0
3211,7169,Automotive Electricians,汽车电工,1000,10,10,0
3212,7170,Motor Mechanics,电机机械,6108,15,16,1
3222,7172,Sheetmetal Trades Workers,钣金业职工,1000,7,8,1
3223,7173,Structural Steel and Welding Trades Workers,结构钢和焊接业职工,4416,51,54,3
3232,7175,Metal Fitters and Machinists,金属钳工和机械师,8070,75,83,8
3233,7176,Precision Metal Trades Workers,精密金属行业工人,1000,2,2,0
3241,7178,​Panelbeaters,车身修理工,1134,2,2,0
3311,7181,Bricklayers and Stonemasons,砌砖工和石匠,1656,48,50,2
3312,7182,Carpenters and Joiners,木匠细木工,7290,162,168,6
3322,7184,Painting Trades Workers,涂装业职工,2802,35,35,0
3331,7185,Glaziers,玻璃工,1000,1,1,0
3332,7186,Plasterers,泥水工,1866,13,14,1
3334,7188,Wall and Floor Tilers,墙壁和地板瓦工,1284,4,4,0
3341,7189,Plumbers,管道工,5130,83,90,7
3411,7190,Electricians,电工,8772,166,174,8
3421,7191,Airconditioning and Refrigeration Mechanics,空调和制冷机械,1038,24,24,0
3422,7192,Electrical Distribution Trades Workers,电气成交量分布工作者,1000,10,10,0
3423,7193,Electronics Trades Workers,电子业职工,2076,41,47,6
3513,7197,Chefs,厨师,2475,133,139,6
3941,7211,Cabinetmakers,细工木匠,1530,2,2,0
3991,7213,​Boat Builders and Shipwrights,船建设者和造船工人,1000,4,4,0
4112,7221,"Dental Hygienists, Technicians and Therapists",牙科保健员，技术员和治疗师,1000,51,55,4
