anzsco4,bbsid,nameen,namecn,ceiling,lastresult,result,change
1331,6546,Construction Managers,建筑业经理,5289,25,31,6
1332,6547,Engineering Managers,工程经理,1407,4,74,70
1335,6550,Production Managers,生产经理,3368,3,3,0
1341,6552,Child Care Centre Managers,幼儿中心经理,1000,6,8,2
1342,6553,Health and Welfare Services Managers,卫生和福利服务经理,1177,7,10,3
2211,7058,Accountants*,会计师,2500,728,826,98
2212,7059,"Auditors, Company Secretaries and Corporate Treasurers",审计，公司秘书及企业司库,1413,385,440,55
2241,7066,"Actuaries, Mathematicians and Statisticians",精算师，数学家和统计学家,1000,24,30,6
2245,7070,Land Economists and Valuers,土地经济学家和估价师,1035,9,9,0
2312,7079,Marine Transport Professionals,验船师,1000,11,15,4
2321,7080,Architects and Landscape Architects,建筑师和景观设计师,1391,60,81,21
2322,7081,Cartographers and Surveyors,制图师和测量师,1000,12,18,6
2331,7086,Chemical and Materials Engineers,化学工程与材料工程师,1000,132,171,39
2332,7087,Civil Engineering Professionals,土木工程专业,2174,287,374,87
2333,7088,Electrical Engineers,电气工程师,1254,147,210,63
2334,7089,Electronics Engineers,电子工程师,1000,285,363,78
2335,7090,"Industrial, Mechanical and Production Engineers",工业，机械和生产工程师,1539,715,875,160
2339,7092,Other Engineering Professionals,其他工程专业人员,1000,570,598,28
2341,7093,Agricultural and Forestry Scientists,农林科学家,1000,30,36,6
2346,7098,Medical Laboratory Scientists,医学实验室科学家,1602,19,26,7
2347,7099,Veterinarians,兽医,1000,20,22,2
2349,7100,Other Natural and Physical Science Professionals,其他自然和物理科学专业人员,1000,4,64,60
2411,7101,Early Childhood (Pre-primary School) Teachers,幼儿教育（学前教育）教师,1822,28,44,16
2414,7103,Secondary School Teachers,中学教师,8032,114,144,30
2415,7104,Special Education Teachers,特殊教育教师,1126,7,8,1
2512,7111,Medical Imaging Professionals,医学影像专业人员,1000,14,23,9
2514,7113,Optometrists and Orthoptists,验光师和视觉矫正师,1000,1,1,0
2519,7115,Orthotist or Prosthetist,义肢矫形师,1000,2,2,0
2521,7116,Chiropractors and Osteopaths,脊医及整骨,1000,7,9,2
2524,7119,Occupational Therapists,职业治疗师,1000,27,38,11
2525,7120,Physiotherapists,物理治疗师,1345,26,32,6
2526,7121,Podiatrists,足病医生,1000,6,7,1
2527,7122,Speech Professionals and Audiologists,演讲专家和听力学家,1000,7,13,6
2531,7123,General Practitioners and Resident Medical officers,全科执业,3495,68,89,21
2532,7124,Anaesthetists,麻醉师,1000,4,74,70
2533,7125,Internal Medicine Specialists,内科专家,1000,6,10,4
2534,7126,Psychiatrists,精神科医生,1000,1,2,1
2535,7127,Surgeons,外科医生,1000,4,64,60
2539,7128,Other Medical Practitioners,其他医生,1315,88,125,37
2541,7129,Midwives,助产士,1017,7,10,3
2544,7132,Registered Nurses,注册护士,16346,611,808,197
2611,7133,ICT Business and Systems Analysts,ICT业务和系统分析师,1482,420,480,60
2613,7134,Software and Applications Programmers,软件和应用程序的程序员,5662,1598,1823,225
2631,7136,Computer Network Professionals,计算机网络专业人士,1426,682,732,50
2633,7138,Telecommunications Engineering Professionals,通信工程专业,1000,167,230,63
2711,7139,Barristers,大律师,1000,0,0,0
2713,7141,Solicitors,律师,5154,37,47,10
2723,7144,Psychologists,心理学家,1532,19,22,3
2725,7146,Social Workers,社会工作者,1783,37,46,9
3122,7161,Civil Engineering Draftspersons and Technicians,土木工程起草者和技师,1000,30,39,9
3123,7162,Electrical Engineering Draftspersons and Technicians,电气工程及其起草者技术员,1000,22,30,8
3132,7168,Telecommunications Technical Specialists,电信技术专家,1000,5,7,2
3211,7169,Automotive Electricians,汽车电工,1000,2,3,1
3212,7170,Motor Mechanics,电机机械,5597,37,50,13
3222,7172,Sheetmetal Trades Workers,钣金业职工,1000,0,0,0
3223,7173,Structural Steel and Welding Trades Workers,结构钢和焊接业职工,4466,10,14,4
3232,7175,Metal Fitters and Machinists,金属钳工和机械师,6677,21,31,10
3233,7176,Precision Metal Trades Workers,精密金属行业工人,1000,0,0,0
3241,7178,Panelbeaters,车身修理工,1000,1,2,1
3311,7181,Bricklayers and Stonemasons,砌砖工和石匠,1751,6,10,4
3312,7182,Carpenters and Joiners,木匠细木工,7718,36,46,10
3322,7184,Painting Trades Workers,涂装业职工,2871,4,84,80
3331,7185,Glaziers,玻璃工,1000,0,0,0
3332,7186,Plasterers,泥水工,2149,3,7,4
3334,7188,Wall and Floor Tilers,墙壁和地板瓦工,1475,2,3,1
3341,7189,Plumbers,管道工,5169,9,18,9
3411,7190,Electricians,电工,9345,49,62,13
3421,7191,Airconditioning and Refrigeration Mechanics,空调和制冷机械,1701,4,74,70
3422,7192,Electrical Distribution Trades Workers,电气成交量分布工作者,1000,2,2,0
3423,7193,Electronics Trades Workers,电子业职工,1993,10,10,0
3513,7197,Chefs,厨师,2854,23,31,8
3941,7211,Cabinetmakers,细工木匠,1568,2,2,0
3991,7213,Boat Builders and Shipwrights,船建设者和造船工人,1000,0,1,1
