anzsco4,bbsid,nameen,namecn,ceiling,lastresult,result,change
1213,947,Livestock Farmers,牲畜农场主,4196,0,2018-04-08,0,0
1331,6546,Construction Managers,建筑业经理,5400,39,2018-04-08,41,2
1332,6547,Engineering Managers,工程经理,1155,12,2018-04-08,14,2
1341,6552,Child Care Centre Managers,幼儿中心经理,1000,7,2018-04-08,8,1
1342,6553,Health and Welfare Services Managers,卫生和福利服务经理,1374,10,2018-04-08,10,0
2211,7058,Accountants*,会计师,4785,2633,2018-04-08,2678,45
2212,7059,"Auditors, Company Secretaries and Corporate Treasurers*",审计，公司秘书及企业司库,1327,922,2018-04-08,950,28
2241,7066,"Actuaries, Mathematicians and Statisticians",精算师，数学家和统计学家,1000,35,2018-04-08,37,2
2245,7070,Land Economists and Valuers,土地经济学家和估价师,1000,13,2018-04-08,14,1
2247,7072,Management consultant,管理顾问,3285,13,2018-04-08,19,6
2321,7080,Architects and Landscape Architects,建筑师和景观设计师,1474,107,2018-04-08,114,7
2322,7081,Cartographers and Surveyors,制图师和测量师,1000,25,2018-04-08,28,3
2331,7086,Chemical and Materials Engineers,化学工程与材料工程师,1000,164,2018-04-08,178,14
2332,7087,Civil Engineering Professionals,土木工程专业,3296,379,2018-04-08,405,26
2333,7088,Electrical Engineers,电气工程师,1042,193,2018-04-08,205,12
2334,7089,Electronics Engineers*,电子工程师,1000,452,2018-04-08,472,20
2335,7090,"Industrial, Mechanical and Production Engineers*",工业，机械和生产工程师,2178,1066,2018-04-08,1113,47
2339,7092,Other Engineering Professionals*,其他工程师,1000,584,2018-04-08,606,22
2341,7093,Agricultural and Forestry Scientists,农林科学家,1000,62,2018-04-08,68,6
2346,7098,Medical Laboratory Scientists,医学实验室科学家,1487,48,2018-04-08,50,2
2347,7099,Veterinarians,兽医,1000,23,2018-04-08,25,2
2349,7100,Other Natural and Physical Science Professionals,其他自然和物理科学专业人员,1000,16,2018-04-08,18,2
2411,7101,Early Childhood (Pre-primary School) Teachers,幼儿教育（学前教育）教师,2639,52,2018-04-08,57,5
2414,7103,Secondary School Teachers,中学教师,7910,181,2018-04-08,189,8
2415,7104,Special Education Teachers,特殊教育教师,1000,7,2018-04-08,7,0
2512,7111,Medical Imaging Professionals,医学影像专业人员,1113,24,2018-04-08,26,2
2514,7113,Optometrists and Orthoptists,验光师和视觉矫正师,1000,11,2018-04-08,11,0
2519,7115,Other Health Diagnostic and Promotion Professionals,义肢矫形师,1000,0,2018-04-08,1,1
2521,7116,Chiropractors and Osteopaths,脊医及整骨,1000,10,2018-04-08,10,0
2524,7119,Occupational Therapists,职业治疗师,1109,25,2018-04-08,28,3
2525,7120,Physiotherapists,物理治疗师,1464,41,2018-04-08,44,3
2526,7121,Podiatrists,足病医生,1000,5,2018-04-08,5,0
2527,7122,Speech Professionals and Audiologists,演讲专家和听力学家,1000,23,2018-04-08,24,1
2531,7123,General Practitioners and Resident Medical officers,全科执业,3495,137,2018-04-08,147,10
2533,7125,Internal Medicine Specialists,内科专家,1000,11,2018-04-08,16,5
2534,7126,Psychiatrists,精神科医生,1000,7,2018-04-08,9,2
2535,7127,Surgeons,外科医生,1000,9,2018-04-08,9,0
2539,7128,Other Medical Practitioners,其他医生,1000,222,2018-04-08,255,33
2541,7129,Midwives,助产士,1090,7,2018-04-08,8,1
2544,7132,Registered Nurses,注册护士,16741,746,2018-04-08,774,28
2611,7133,ICT Business and Systems Analysts*,ICT业务和系统分析师,1574,1086,2018-04-08,1120,34
2613,7134,Software and Applications Programmers*,软件和应用程序的程序员,6202,3262,2018-04-08,3397,135
