anzsco4,bbsid,nameen,namecn,ceiling,lastresult,result,change
1213,947,Livestock Farmers,牲畜农场主,4196,0,2018-06-07,0,0
1331,6546,Construction Managers,建筑业经理,5400,45,2018-06-07,46,1
1332,6547,Engineering Managers,工程经理,1155,14,2018-06-07,14,0
1341,6552,Child Care Centre Managers,幼儿中心经理,1000,8,2018-06-07,9,1
1342,6553,Health and Welfare Services Managers,卫生和福利服务经理,1374,11,2018-06-07,11,0
2211,7058,Accountants*,会计师,4785,2768,2018-06-07,2813,45
2212,7059,"Auditors, Company Secretaries and Corporate Treasurers*",审计，公司秘书及企业司库,1327,974,2018-06-07,986,12
2241,7066,"Actuaries, Mathematicians and Statisticians",精算师，数学家和统计学家,1000,40,2018-06-07,40,0
2245,7070,Land Economists and Valuers,土地经济学家和估价师,1000,15,2018-06-07,15,0
2247,7072,Management consultant,管理顾问,3285,30,2018-06-07,37,7
2321,7080,Architects and Landscape Architects,建筑师和景观设计师,1474,124,2018-06-07,128,4
2322,7081,Cartographers and Surveyors,制图师和测量师,1000,32,2018-06-07,32,0
2331,7086,Chemical and Materials Engineers,化学工程与材料工程师,1000,184,2018-06-07,189,5
2332,7087,Civil Engineering Professionals,土木工程专业,3296,423,2018-06-07,433,10
2333,7088,Electrical Engineers,电气工程师,1042,214,2018-06-07,219,5
2334,7089,Electronics Engineers*,电子工程师,1000,485,2018-06-07,493,8
2335,7090,"Industrial, Mechanical and Production Engineers*",工业，机械和生产工程师,2178,1155,2018-06-07,1175,20
2339,7092,Other Engineering Professionals*,其他工程师,1000,624,2018-06-07,633,9
2341,7093,Agricultural and Forestry Scientists,农林科学家,1000,72,2018-06-07,76,4
2346,7098,Medical Laboratory Scientists,医学实验室科学家,1487,52,2018-06-07,52,0
2347,7099,Veterinarians,兽医,1000,28,2018-06-07,29,1
2349,7100,Other Natural and Physical Science Professionals,其他自然和物理科学专业人员,1000,18,2018-06-07,19,1
2411,7101,Early Childhood (Pre-primary School) Teachers,幼儿教育（学前教育）教师,2639,61,2018-06-07,62,1
2414,7103,Secondary School Teachers,中学教师,7910,197,2018-06-07,201,4
2415,7104,Special Education Teachers,特殊教育教师,1000,7,2018-06-07,7,0
2512,7111,Medical Imaging Professionals,医学影像专业人员,1113,28,2018-06-07,29,1
2514,7113,Optometrists and Orthoptists,验光师和视觉矫正师,1000,11,2018-06-07,11,0
2519,7115,Other Health Diagnostic and Promotion Professionals,义肢矫形师,1000,1,2018-06-07,1,0
2521,7116,Chiropractors and Osteopaths,脊医及整骨,1000,10,2018-06-07,10,0
2524,7119,Occupational Therapists,职业治疗师,1109,32,2018-06-07,32,0
2525,7120,Physiotherapists,物理治疗师,1464,50,2018-06-07,51,1
2526,7121,Podiatrists,足病医生,1000,5,2018-06-07,6,1
2527,7122,Speech Professionals and Audiologists,演讲专家和听力学家,1000,27,2018-06-07,27,0
2531,7123,General Practitioners and Resident Medical officers,全科执业,3495,160,2018-06-07,165,5
2533,7125,Internal Medicine Specialists,内科专家,1000,23,2018-06-07,25,2
2534,7126,Psychiatrists,精神科医生,1000,10,2018-06-07,11,1
2535,7127,Surgeons,外科医生,1000,11,2018-06-07,11,0
2539,7128,Other Medical Practitioners,其他医生,1000,290,2018-06-07,305,15
2541,7129,Midwives,助产士,1090,8,2018-06-07,8,0
2544,7132,Registered Nurses,注册护士,16741,802,2018-06-07,825,23
2611,7133,ICT Business and Systems Analysts*,ICT业务和系统分析师,1574,1150,2018-06-07,1165,15
2613,7134,Software and Applications Programmers*,软件和应用程序的程序员,6202,3513,2018-06-07,3571,58
2621,7135,Database and Systems Administrators and ICT Security Specialists,ICT安全专家,2391,279,2018-06-07,290,11
2631,7136,Computer Network Professionals*,计算机网络专业人士,1318,739,2018-06-07,751,12
2633,7138,Telecommunications Engineering Professionals,通信工程专业,1000,373,2018-06-07,382,9
2711,7139,Barristers,大律师,1000,1,2018-06-07,1,0
2713,7141,Solicitors,律师,4161,89,2018-06-07,93,4
2723,7144,Psychologists,心理学家,1750,27,2018-06-07,27,0
2725,7146,Social Workers,社会工作者,1562,118,2018-06-07,124,6
3122,7161,Civil Engineering Draftspersons and Technicians,土木工程起草者和技术,1000,28,2018-06-07,29,1
3123,7162,Electrical Engineering Draftspersons and Technicians,电气工程及其起草者技术员,1000,27,2018-06-07,27,0
3132,7168,Telecommunications Technical Specialists,电信技术专家,1000,12,2018-06-07,12,0
3211,7169,Automotive Electricians,汽车电工,1000,0,2018-06-07,0,0
3212,7170,Motor Mechanics,电机机械,5980,51,2018-06-07,51,0
3222,7172,Sheetmetal Trades Workers,钣金业职工,1000,1,2018-06-07,1,0
3223,7173,Structural Steel and Welding Trades Workers,结构钢和焊接业职工,4426,15,2018-06-07,15,0
3232,7175,Metal Fitters and Machinists,金属钳工和机械师,5330,19,2018-06-07,19,0
3233,7176,Precision Metal Trades Workers,精密金属行业工人,1000,0,2018-06-07,0,0
