anzsco4,bbsid,nameen,namecn,ceiling,lastresult,result,change
1213,947,Livestock Farmers,牲畜农场主,4196,0,2018-06-29,0,0
1331,6546,Construction Managers,建筑业经理,5400,46,2018-06-29,47,1
1332,6547,Engineering Managers,工程经理,1155,14,2018-06-29,14,0
1341,6552,Child Care Centre Managers,幼儿中心经理,1000,9,2018-06-29,9,0
1342,6553,Health and Welfare Services Managers,卫生和福利服务经理,1374,11,2018-06-29,11,0
2211,7058,Accountants*,会计师,4785,2813,2018-06-29,2858,45
2212,7059,"Auditors, Company Secretaries and Corporate Treasurers*",审计，公司秘书及企业司库,1327,986,2018-06-29,998,12
2241,7066,"Actuaries, Mathematicians and Statisticians",精算师，数学家和统计学家,1000,40,2018-06-29,42,2
2245,7070,Land Economists and Valuers,土地经济学家和估价师,1000,15,2018-06-29,15,0
2247,7072,Management consultant,管理顾问,3285,37,2018-06-29,41,4
2321,7080,Architects and Landscape Architects,建筑师和景观设计师,1474,128,2018-06-29,135,7
2322,7081,Cartographers and Surveyors,制图师和测量师,1000,32,2018-06-29,32,0
2331,7086,Chemical and Materials Engineers,化学工程与材料工程师,1000,189,2018-06-29,191,2
2332,7087,Civil Engineering Professionals,土木工程专业,3296,433,2018-06-29,445,12
2333,7088,Electrical Engineers,电气工程师,1042,219,2018-06-29,229,10
2334,7089,Electronics Engineers*,电子工程师,1000,493,2018-06-29,501,8
2335,7090,"Industrial, Mechanical and Production Engineers*",工业，机械和生产工程师,2178,1175,2018-06-29,1195,20
2339,7092,Other Engineering Professionals*,其他工程师,1000,633,2018-06-29,642,9
2341,7093,Agricultural and Forestry Scientists,农林科学家,1000,76,2018-06-29,82,6
2346,7098,Medical Laboratory Scientists,医学实验室科学家,1487,52,2018-06-29,52,0
2347,7099,Veterinarians,兽医,1000,29,2018-06-29,33,4
2349,7100,Other Natural and Physical Science Professionals,其他自然和物理科学专业人员,1000,19,2018-06-29,19,0
2411,7101,Early Childhood (Pre-primary School) Teachers,幼儿教育（学前教育）教师,2639,62,2018-06-29,64,2
2414,7103,Secondary School Teachers,中学教师,7910,201,2018-06-29,206,5
2415,7104,Special Education Teachers,特殊教育教师,1000,7,2018-06-29,8,1
2512,7111,Medical Imaging Professionals,医学影像专业人员,1113,29,2018-06-29,29,0
2514,7113,Optometrists and Orthoptists,验光师和视觉矫正师,1000,11,2018-06-29,12,1
2519,7115,Other Health Diagnostic and Promotion Professionals,义肢矫形师,1000,1,2018-06-29,1,0
2521,7116,Chiropractors and Osteopaths,脊医及整骨,1000,10,2018-06-29,10,0
2524,7119,Occupational Therapists,职业治疗师,1109,32,2018-06-29,34,2
2525,7120,Physiotherapists,物理治疗师,1464,51,2018-06-29,51,0
2526,7121,Podiatrists,足病医生,1000,6,2018-06-29,6,0
2527,7122,Speech Professionals and Audiologists,演讲专家和听力学家,1000,27,2018-06-29,28,1
2531,7123,General Practitioners and Resident Medical officers,全科执业,3495,165,2018-06-29,171,6
2533,7125,Internal Medicine Specialists,内科专家,1000,25,2018-06-29,28,3
2534,7126,Psychiatrists,精神科医生,1000,11,2018-06-29,12,1
2535,7127,Surgeons,外科医生,1000,11,2018-06-29,11,0
2539,7128,Other Medical Practitioners,其他医生,1000,305,2018-06-29,315,10
2541,7129,Midwives,助产士,1090,8,2018-06-29,10,2
2544,7132,Registered Nurses,注册护士,16741,825,2018-06-29,838,13
2611,7133,ICT Business and Systems Analysts*,ICT业务和系统分析师,1574,1165,2018-06-29,1180,15
2613,7134,Software and Applications Programmers*,软件和应用程序的程序员,6202,3571,2018-06-29,3629,58
2621,7135,Database and Systems Administrators and ICT Security Specialists,ICT安全专家,2391,290,2018-06-29,306,16
2631,7136,Computer Network Professionals*,计算机网络专业人士,1318,751,2018-06-29,763,12
2633,7138,Telecommunications Engineering Professionals,通信工程专业,1000,382,2018-06-29,386,4
2711,7139,Barristers,大律师,1000,1,2018-06-29,1,0
2713,7141,Solicitors,律师,4161,93,2018-06-29,95,2
2723,7144,Psychologists,心理学家,1750,27,2018-06-29,27,0
2725,7146,Social Workers,社会工作者,1562,124,2018-06-29,126,2
3122,7161,Civil Engineering Draftspersons and Technicians,土木工程起草者和技术,1000,29,2018-06-29,31,2
3123,7162,Electrical Engineering Draftspersons and Technicians,电气工程及其起草者技术员,1000,27,2018-06-29,27,0
3132,7168,Telecommunications Technical Specialists,电信技术专家,1000,12,2018-06-29,12,0
3211,7169,Automotive Electricians,汽车电工,1000,0,2018-06-29,0,0
3212,7170,Motor Mechanics,电机机械,5980,51,2018-06-29,51,0
