anzsco4,bbsid,nameen,namecn,ceiling,lastresult,result,change
1213,947,Livestock Farmers,牲畜农场主,4196,0,2018-03-09,0,0
1331,6546,Construction Managers,建筑业经理,5400,49,2018-03-09,49,0
1332,6547,Engineering Managers,工程经理,1155,12,2018-03-09,12,0
1341,6552,Child Care Centre Managers,幼儿中心经理,1000,7,2018-03-09,7,0
1342,6553,Health and Welfare Services Managers,卫生和福利服务经理,1374,11,2018-03-09,11,0
2211,7058,Accountants*,会计师,4785,2633,2018-03-09,2633,0
2212,7059,"Auditors, Company Secretaries and Corporate Treasurers*",审计，公司秘书及企业司库,1327,890,2018-03-09,906,16
2241,7066,"Actuaries, Mathematicians and Statisticians",精算师，数学家和统计学家,1000,32,2018-03-09,34,2
2245,7070,Land Economists and Valuers,土地经济学家和估价师,1000,11,2018-03-09,12,1
2247,7072,Management consultant,管理顾问,3285,10,2018-03-09,12,2
2321,7080,Architects and Landscape Architects,建筑师和景观设计师,1474,96,2018-03-09,101,5
2322,7081,Cartographers and Surveyors,制图师和测量师,1000,24,2018-03-09,24,0
2331,7086,Chemical and Materials Engineers,化学工程与材料工程师,1000,155,2018-03-09,159,4
2332,7087,Civil Engineering Professionals,土木工程专业,3296,357,2018-03-09,368,11
2333,7088,Electrical Engineers,电气工程师,1042,184,2018-03-09,189,5
2334,7089,Electronics Engineers*,电子工程师,1000,435,2018-03-09,447,12
2335,7090,"Industrial, Mechanical and Production Engineers*",工业，机械和生产工程师,2178,1012,2018-03-09,1039,27
2339,7092,Other Engineering Professionals*,其他工程师,1000,559,2018-03-09,572,13
2341,7093,Agricultural and Forestry Scientists,农林科学家,1000,59,2018-03-09,62,3
2346,7098,Medical Laboratory Scientists,医学实验室科学家,1487,43,2018-03-09,45,2
2347,7099,Veterinarians,兽医,1000,21,2018-03-09,21,0
2349,7100,Other Natural and Physical Science Professionals,其他自然和物理科学专业人员,1000,16,2018-03-09,16,0
2411,7101,Early Childhood (Pre-primary School) Teachers,幼儿教育（学前教育）教师,2639,51,2018-03-09,52,1
2414,7103,Secondary School Teachers,中学教师,7910,165,2018-03-09,173,8
2415,7104,Special Education Teachers,特殊教育教师,1000,6,2018-03-09,6,0
2512,7111,Medical Imaging Professionals,医学影像专业人员,1113,22,2018-03-09,22,0
2514,7113,Optometrists and Orthoptists,验光师和视觉矫正师,1000,10,2018-03-09,11,1
2519,7115,Other Health Diagnostic and Promotion Professionals,义肢矫形师,1000,0,2018-03-09,0,0
2521,7116,Chiropractors and Osteopaths,脊医及整骨,1000,9,2018-03-09,10,1
2524,7119,Occupational Therapists,职业治疗师,1109,24,2018-03-09,25,1
2525,7120,Physiotherapists,物理治疗师,1464,37,2018-03-09,40,3
2526,7121,Podiatrists,足病医生,1000,5,2018-03-09,5,0
2527,7122,Speech Professionals and Audiologists,演讲专家和听力学家,1000,20,2018-03-09,23,3
2531,7123,General Practitioners and Resident Medical officers,全科执业,3495,125,2018-03-09,130,5
2533,7125,Internal Medicine Specialists,内科专家,1000,8,2018-03-09,8,0
2534,7126,Psychiatrists,精神科医生,1000,5,2018-03-09,5,0
2535,7127,Surgeons,外科医生,1000,9,2018-03-09,9,0
2539,7128,Other Medical Practitioners,其他医生,1000,191,2018-03-09,205,14
2541,7129,Midwives,助产士,1090,7,2018-03-09,7,0
2544,7132,Registered Nurses,注册护士,16741,713,2018-03-09,729,16
2611,7133,ICT Business and Systems Analysts*,ICT业务和系统分析师,1574,1048,2018-03-09,1067,19
2613,7134,Software and Applications Programmers*,软件和应用程序的程序员,6202,3108,2018-03-09,3185,77
2621,7135,Database and Systems Administrators and ICT Security Specialists,ICT安全专家,2391,202,2018-03-09,213,11
2631,7136,Computer Network Professionals*,计算机网络专业人士,1318,655,2018-03-09,671,16
2633,7138,Telecommunications Engineering Professionals,通信工程专业,1000,321,2018-03-09,329,8
2711,7139,Barristers,大律师,1000,0,2018-03-09,0,0
2713,7141,Solicitors,律师,4161,73,2018-03-09,78,5
2723,7144,Psychologists,心理学家,1750,22,2018-03-09,23,1
2725,7146,Social Workers,社会工作者,1562,105,2018-03-09,108,3
3122,7161,Civil Engineering Draftspersons and Technicians,土木工程起草者和技术,1000,22,2018-03-09,23,1
3123,7162,Electrical Engineering Draftspersons and Technicians,电气工程及其起草者技术员,1000,26,2018-03-09,27,1
3132,7168,Telecommunications Technical Specialists,电信技术专家,1000,11,2018-03-09,11,0
3211,7169,Automotive Electricians,汽车电工,1000,0,2018-03-09,0,0
3212,7170,Motor Mechanics,电机机械,5980,47,2018-03-09,47,0
3222,7172,Sheetmetal Trades Workers,钣金业职工,1000,1,2018-03-09,1,0
3223,7173,Structural Steel and Welding Trades Workers,结构钢和焊接业职工,4426,14,2018-03-09,14,0
3232,7175,Metal Fitters and Machinists,金属钳工和机械师,5330,17,2018-03-09,18,1
3233,7176,Precision Metal Trades Workers,精密金属行业工人,1000,0,2018-03-09,0,0
3241,7178,Panelbeaters,车身修理工,1344,1,2018-03-09,1,0
3311,7181,Bricklayers and Stonemasons,砌砖工和石匠,1271,10,2018-03-09,10,0
3312,7182,Carpenters and Joiners,木匠细木工,6968,17,2018-03-09,18,1
3322,7184,Painting Trades Workers,涂装业职工,2780,5,2018-03-09,5,0
3331,7185,Glaziers,玻璃工,1000,1,2018-03-09,1,0
3332,7186,Plasterers,泥水工,2103,3,2018-03-09,3,0
3334,7188,Wall and Floor Tilers,墙壁和地板瓦工,1407,0,2018-03-09,0,0
3341,7189,Plumbers,管道工,5507,4,2018-03-09,6,2
3411,7190,Electricians,电工,9354,27,2018-03-09,28,1
3421,7191,Airconditioning and Refrigeration Mechanics,空调和制冷机械,1427,4,2018-03-09,4,0
3422,7192,Electrical Distribution Trades Workers,电气成交量分布工作者,1000,2,2018-03-09,2,0
3423,7193,Electronics Trades Workers,电子业职工,1878,22,2018-03-09,22,0
3513,7197,Chefs,厨师,2675,55,2018-03-09,57,2
3941,7211,Cabinetmakers,细工木匠,1905,2,2018-03-09,2,0
3991,7213,Boat Builders and Shipwrights,船建设者和造船工人,1000,0,2018-03-09,0,0
