anzsco4,bbsid,nameen,namecn,ceiling,lastresult,result,change
1331,6546,Construction Managers,建筑业经理,5289,31,40,9
1332,6547,Engineering Managers,工程经理,1407,74,10,-64
1335,6550,Production Managers,生产经理,3368,3,4,1
1341,6552,Child Care Centre Managers,幼儿中心经理,1000,8,8,0
1342,6553,Health and Welfare Services Managers,卫生和福利服务经理,1177,10,11,1
2211,7058,Accountants*,会计师,2500,826,924,98
2212,7059,"Auditors, Company Secretaries and Corporate Treasurers",审计，公司秘书及企业司库,1413,440,495,55
2241,7066,"Actuaries, Mathematicians and Statisticians",精算师，数学家和统计学家,1000,30,33,3
2245,7070,Land Economists and Valuers,土地经济学家和估价师,1035,9,15,6
2312,7079,Marine Transport Professionals,验船师,1000,15,20,5
2321,7080,Architects and Landscape Architects,建筑师和景观设计师,1391,81,105,24
2322,7081,Cartographers and Surveyors,制图师和测量师,1000,18,21,3
2331,7086,Chemical and Materials Engineers,化学工程与材料工程师,1000,171,216,45
2332,7087,Civil Engineering Professionals,土木工程专业,2174,374,483,109
2333,7088,Electrical Engineers,电气工程师,1254,210,253,43
2334,7089,Electronics Engineers,电子工程师,1000,363,444,81
2335,7090,"Industrial, Mechanical and Production Engineers",工业，机械和生产工程师,1539,875,1045,170
2339,7092,Other Engineering Professionals,其他工程专业人员,1000,598,626,28
2341,7093,Agricultural and Forestry Scientists,农林科学家,1000,36,56,20
2346,7098,Medical Laboratory Scientists,医学实验室科学家,1602,26,39,13
2347,7099,Veterinarians,兽医,1000,22,28,6
2349,7100,Other Natural and Physical Science Professionals,其他自然和物理科学专业人员,1000,64,8,-56
2411,7101,Early Childhood (Pre-primary School) Teachers,幼儿教育（学前教育）教师,1822,44,57,13
2414,7103,Secondary School Teachers,中学教师,8032,144,174,30
2415,7104,Special Education Teachers,特殊教育教师,1126,8,8,0
2512,7111,Medical Imaging Professionals,医学影像专业人员,1000,23,25,2
2514,7113,Optometrists and Orthoptists,验光师和视觉矫正师,1000,1,2,1
2519,7115,Orthotist or Prosthetist,义肢矫形师,1000,2,2,0
2521,7116,Chiropractors and Osteopaths,脊医及整骨,1000,9,10,1
2524,7119,Occupational Therapists,职业治疗师,1000,38,45,7
2525,7120,Physiotherapists,物理治疗师,1345,32,42,10
2526,7121,Podiatrists,足病医生,1000,7,9,2
2527,7122,Speech Professionals and Audiologists,演讲专家和听力学家,1000,13,15,2
2531,7123,General Practitioners and Resident Medical officers,全科执业,3495,89,100,11
2532,7124,Anaesthetists,麻醉师,1000,74,7,-67
2533,7125,Internal Medicine Specialists,内科专家,1000,10,14,4
2534,7126,Psychiatrists,精神科医生,1000,2,2,0
2535,7127,Surgeons,外科医生,1000,64,10,-54
2539,7128,Other Medical Practitioners,其他医生,1315,125,157,32
2541,7129,Midwives,助产士,1017,10,13,3
2544,7132,Registered Nurses,注册护士,16346,808,972,164
2611,7133,ICT Business and Systems Analysts,ICT业务和系统分析师,1482,480,540,60
2613,7134,Software and Applications Programmers,软件和应用程序的程序员,5662,1823,2048,225
2631,7136,Computer Network Professionals,计算机网络专业人士,1426,732,782,50
2633,7138,Telecommunications Engineering Professionals,通信工程专业,1000,230,281,51
2711,7139,Barristers,大律师,1000,0,0,0
2713,7141,Solicitors,律师,5154,47,62,15
2723,7144,Psychologists,心理学家,1532,22,26,4
2725,7146,Social Workers,社会工作者,1783,46,54,8
3122,7161,Civil Engineering Draftspersons and Technicians,土木工程起草者和技师,1000,39,46,7
3123,7162,Electrical Engineering Draftspersons and Technicians,电气工程及其起草者技术员,1000,30,38,8
3132,7168,Telecommunications Technical Specialists,电信技术专家,1000,7,8,1
3211,7169,Automotive Electricians,汽车电工,1000,3,5,2
3212,7170,Motor Mechanics,电机机械,5597,50,64,14
3222,7172,Sheetmetal Trades Workers,钣金业职工,1000,0,0,0
3223,7173,Structural Steel and Welding Trades Workers,结构钢和焊接业职工,4466,14,18,4
3232,7175,Metal Fitters and Machinists,金属钳工和机械师,6677,31,34,3
3233,7176,Precision Metal Trades Workers,精密金属行业工人,1000,0,0,0
3241,7178,Panelbeaters,车身修理工,1000,2,2,0
3311,7181,Bricklayers and Stonemasons,砌砖工和石匠,1751,10,13,3
3312,7182,Carpenters and Joiners,木匠细木工,7718,46,55,9
3322,7184,Painting Trades Workers,涂装业职工,2871,84,10,-74
3331,7185,Glaziers,玻璃工,1000,0,0,0
3332,7186,Plasterers,泥水工,2149,7,10,3
3334,7188,Wall and Floor Tilers,墙壁和地板瓦工,1475,3,3,0
3341,7189,Plumbers,管道工,5169,18,20,2
3411,7190,Electricians,电工,9345,62,74,12
3421,7191,Airconditioning and Refrigeration Mechanics,空调和制冷机械,1701,74,8,-66
3422,7192,Electrical Distribution Trades Workers,电气成交量分布工作者,1000,2,3,1
3423,7193,Electronics Trades Workers,电子业职工,1993,10,16,6
3513,7197,Chefs,厨师,2854,31,41,10
3941,7211,Cabinetmakers,细工木匠,1568,2,3,1
3991,7213,Boat Builders and Shipwrights,船建设者和造船工人,1000,1,1,0
